study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA1051122		2	sub10		2		2				proxy_rowcount
PRJNA316457		2	sub10		2		2				proxy_rowcount
PRJNA704902		1	sub10		1		1				proxy_rowcount
PRJNA971580		1	sub10		1		1				proxy_rowcount
PRJNA706398		1	sub10		1		1				proxy_rowcount
PRJNA715072		1	sub10		1		1				proxy_rowcount
PRJEB30599		1	sub10		1		1				proxy_rowcount
PRJNA706921		1	sub10		1		1				proxy_rowcount
PRJNA1100308		1	sub10		1		1				proxy_rowcount
PRJNA1088746		1	sub10		1		1				proxy_rowcount
PRJNA73843		1	sub10		1		1				proxy_rowcount
PRJNA714645		1	sub10		1		1				proxy_rowcount
PRJNA957334		1	sub10		1		1				proxy_rowcount
PRJNA736853		1	sub10		1		1				proxy_rowcount
PRJNA1088653		1	sub10		1		1				proxy_rowcount
PRJEB3215		1	sub10		1		1				proxy_rowcount
PRJNA721588		1	sub10		1		1				proxy_rowcount
PRJEB32402		1	sub10		1		1				proxy_rowcount
PRJDB2238		1	sub10		1		1				proxy_rowcount
PRJNA726340		1	sub10		1		1				proxy_rowcount
PRJNA728250		1	sub10		1		1				proxy_rowcount
PRJNA719009		1	sub10		1		1				proxy_rowcount
PRJNA1066419		1	sub10		1		1				proxy_rowcount
PRJNA966930		1	sub10		1		1				proxy_rowcount
PRJNA1072026		1	sub10		1		1				proxy_rowcount
PRJNA717148		1	sub10		1		1				proxy_rowcount
PRJEB33296		1	sub10		1		1				proxy_rowcount
PRJNA1048475		1	sub10		1		1				proxy_rowcount
PRJEB3184		1	sub10		1		1				proxy_rowcount
PRJNA1073544		1	sub10		1		1				proxy_rowcount
PRJNA716670		1	sub10		1		1				proxy_rowcount
PRJNA1075815		1	sub10		1		1				proxy_rowcount
PRJNA1077593		1	sub10		1		1				proxy_rowcount
PRJNA715927		1	sub10		1		1				proxy_rowcount
PRJNA95295		1	sub10		1		1				proxy_rowcount
PRJNA1044623		1	sub10		1		1				proxy_rowcount
PRJNA731002		1	sub10		1		1				proxy_rowcount
PRJNA715323		1	sub10		1		1				proxy_rowcount
PRJNA73191		1	sub10		1		1				proxy_rowcount
PRJNA1042619		1	sub10		1		1				proxy_rowcount
PRJNA1041718		1	sub10		1		1				proxy_rowcount
